movie_id,title,year,rating,duration,metascore,created_at
tt0027977,Modern Times,1936,8.5,87,96,2025-07-27 05:51:33.714186
tt0034583,Casablanca,1943,8.5,102,100,2025-07-27 05:51:36.244499
tt0038650,It's a Wonderful Life,1947,8.6,130,89,2025-07-27 05:51:46.453117
tt0047478,Shichinin no samurai,1954,8.6,207,98,2025-07-27 05:51:44.843437
tt0050083,12 Angry Men,1957,9,96,97,2025-07-27 05:51:32.042873
tt0054215,Psycho,1960,8.5,109,97,2025-07-27 05:51:39.723789
tt0056058,Seppuku,1962,8.6,133,85,2025-07-27 05:51:37.432739
tt0060196,"Il buono, il brutto, il cattivo",1968,8.8,182,90,2025-07-27 05:51:30.215875
tt0068646,The Godfather,1972,9.2,175,100,2025-07-27 05:51:48.034131
tt0071562,The Godfather Part II,1975,9,202,90,2025-07-27 05:51:32.414108
tt0073486,One Flew Over the Cuckoo's Nest,1976,8.7,133,84,2025-07-27 05:51:47.223724
tt0076759,Star Wars,1977,8.6,121,90,2025-07-27 05:51:45.733445
tt0078748,Alien,1979,8.5,117,89,2025-07-27 05:51:34.233215
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,124,82,2025-07-27 05:51:27.771364
tt0088763,Back to the Future,1985,8.5,116,87,2025-07-27 05:51:42.849994
tt0095327,Hotaru no haka,1990,8.5,88,94,2025-07-27 05:51:37.793184
tt0095765,Nuovo Cinema Paradiso,1989,8.5,174,80,2025-07-27 05:51:35.803951
tt0099685,GoodFellas,1990,8.7,145,92,2025-07-27 05:51:32.972746
tt0102926,The Silence of the Lambs,1991,8.6,118,86,2025-07-27 05:51:46.092998
tt0103064,Terminator 2: Judgment Day,1991,8.6,137,75,2025-07-27 05:51:45.364964
tt0108052,Schindler's List,1994,9,195,95,2025-07-27 05:51:31.322851
tt0109830,Forrest Gump,1994,8.8,142,82,2025-07-27 05:51:28.851972
tt0110357,The Lion King,1994,8.5,88,88,2025-07-27 05:51:39.363737
tt0110413,Léon,1995,8.5,110,64,2025-07-27 05:51:36.603057
tt0110912,Pulp Fiction,1995,8.8,154,95,2025-07-27 05:51:30.943023
tt0111161,The Shawshank Redemption,1995,9.3,142,82,2025-07-27 05:51:27.191095
tt0114369,Se7en,1996,8.6,127,65,2025-07-27 05:51:46.813654
tt0114814,The Usual Suspects,1995,8.5,106,76,2025-07-27 05:51:34.592682
tt0118799,La vita è bella,1999,8.6,116,58,2025-07-27 05:51:44.483317
tt0120586,American History X,1999,8.5,119,62,2025-07-27 05:51:35.042888
tt0120689,The Green Mile,2000,8.6,189,61,2025-07-27 05:51:43.671026
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,178,92,2025-07-27 05:51:30.583117
tt0120815,Saving Private Ryan,1998,8.6,169,91,2025-07-27 05:51:44.033739
tt0133093,The Matrix,1999,8.7,136,73,2025-07-27 05:51:29.301947
tt0137523,Fight Club,1999,8.8,139,67,2025-07-27 05:51:28.131917
tt0167260,The Lord of the Rings: The Return of the King,2003,9,201,94,2025-07-27 05:51:31.682812
tt0167261,The Lord of the Rings: The Two Towers,2002,8.8,179,87,2025-07-27 05:51:28.492846
tt0172495,Gladiator,2000,8.5,155,67,2025-07-27 05:51:40.573225
tt0245429,Sen to Chihiro no kamikakushi,2002,8.6,124,96,2025-07-27 05:51:41.303994
tt0253474,The Pianist,2002,8.5,150,85,2025-07-27 05:51:40.933124
tt0317248,Cidade de Deus,2003,8.6,130,79,2025-07-27 05:51:43.272958
tt0407887,The Departed,2006,8.5,151,85,2025-07-27 05:51:38.513232
tt0468569,The Dark Knight,2008,9.1,152,85,2025-07-27 05:51:33.342775
tt0482571,The Prestige,2007,8.5,130,66,2025-07-27 05:51:37.062701
tt0816692,Interstellar,2014,8.7,169,74,2025-07-27 05:51:47.5831
tt1375666,Inception,2010,8.8,148,74,2025-07-27 05:51:29.68974
tt1675434,Intouchables,2012,8.5,112,57,2025-07-27 05:51:35.443333
tt2582802,Whiplash,2015,8.5,106,89,2025-07-27 05:51:38.973686
tt6751668,Gisaengchung,2019,8.5,132,97,2025-07-27 05:51:40.213183
tt9362722,Spider-Man: Across the Spider-Verse,2023,8.5,140,86,2025-07-27 05:51:38.152989